global_avg_temp,year,city,country,avg_temp
8.39,1825,Kuala Lumpur,Malaysia,26.46
8.36,1826,Kuala Lumpur,Malaysia,
8.81,1827,Kuala Lumpur,Malaysia,
8.17,1828,Kuala Lumpur,Malaysia,
7.94,1829,Kuala Lumpur,Malaysia,
8.52,1830,Kuala Lumpur,Malaysia,
7.64,1831,Kuala Lumpur,Malaysia,
7.45,1832,Kuala Lumpur,Malaysia,
8.01,1833,Kuala Lumpur,Malaysia,
8.15,1834,Kuala Lumpur,Malaysia,
7.39,1835,Kuala Lumpur,Malaysia,
7.70,1836,Kuala Lumpur,Malaysia,
7.38,1837,Kuala Lumpur,Malaysia,
7.51,1838,Kuala Lumpur,Malaysia,
7.63,1839,Kuala Lumpur,Malaysia,25.74
7.80,1840,Kuala Lumpur,Malaysia,25.96
7.69,1841,Kuala Lumpur,Malaysia,26.10
8.02,1842,Kuala Lumpur,Malaysia,26.18
8.17,1843,Kuala Lumpur,Malaysia,26.25
7.65,1844,Kuala Lumpur,Malaysia,25.77
7.85,1845,Kuala Lumpur,Malaysia,25.64
8.55,1846,Kuala Lumpur,Malaysia,26.44
8.09,1847,Kuala Lumpur,Malaysia,25.89
7.98,1848,Kuala Lumpur,Malaysia,
7.98,1849,Kuala Lumpur,Malaysia,
7.90,1850,Kuala Lumpur,Malaysia,26.06
8.18,1851,Kuala Lumpur,Malaysia,26.13
8.10,1852,Kuala Lumpur,Malaysia,26.02
8.04,1853,Kuala Lumpur,Malaysia,26.26
8.21,1854,Kuala Lumpur,Malaysia,25.98
8.11,1855,Kuala Lumpur,Malaysia,26.12
8.00,1856,Kuala Lumpur,Malaysia,26.21
7.76,1857,Kuala Lumpur,Malaysia,
8.10,1858,Kuala Lumpur,Malaysia,26.21
8.25,1859,Kuala Lumpur,Malaysia,26.27
7.96,1860,Kuala Lumpur,Malaysia,25.97
7.85,1861,Kuala Lumpur,Malaysia,25.93
7.56,1862,Kuala Lumpur,Malaysia,
8.11,1863,Kuala Lumpur,Malaysia,26.11
7.98,1864,Kuala Lumpur,Malaysia,25.95
8.18,1865,Kuala Lumpur,Malaysia,26.22
8.29,1866,Kuala Lumpur,Malaysia,26.22
8.44,1867,Kuala Lumpur,Malaysia,26.12
8.25,1868,Kuala Lumpur,Malaysia,26.14
8.43,1869,Kuala Lumpur,Malaysia,25.95
8.20,1870,Kuala Lumpur,Malaysia,25.59
8.12,1871,Kuala Lumpur,Malaysia,25.68
8.19,1872,Kuala Lumpur,Malaysia,26.23
8.35,1873,Kuala Lumpur,Malaysia,26.47
8.43,1874,Kuala Lumpur,Malaysia,26.16
7.86,1875,Kuala Lumpur,Malaysia,25.59
8.08,1876,Kuala Lumpur,Malaysia,25.75
8.54,1877,Kuala Lumpur,Malaysia,26.31
8.83,1878,Kuala Lumpur,Malaysia,26.61
8.17,1879,Kuala Lumpur,Malaysia,25.88
8.12,1880,Kuala Lumpur,Malaysia,26.21
8.27,1881,Kuala Lumpur,Malaysia,26.60
8.13,1882,Kuala Lumpur,Malaysia,26.18
7.98,1883,Kuala Lumpur,Malaysia,26.05
7.77,1884,Kuala Lumpur,Malaysia,25.98
7.92,1885,Kuala Lumpur,Malaysia,26.36
7.95,1886,Kuala Lumpur,Malaysia,26.35
7.91,1887,Kuala Lumpur,Malaysia,25.71
8.09,1888,Kuala Lumpur,Malaysia,26.33
8.32,1889,Kuala Lumpur,Malaysia,26.47
7.97,1890,Kuala Lumpur,Malaysia,25.94
8.02,1891,Kuala Lumpur,Malaysia,26.17
8.07,1892,Kuala Lumpur,Malaysia,25.94
8.06,1893,Kuala Lumpur,Malaysia,25.89
8.16,1894,Kuala Lumpur,Malaysia,26.08
8.15,1895,Kuala Lumpur,Malaysia,26.16
8.21,1896,Kuala Lumpur,Malaysia,26.61
8.29,1897,Kuala Lumpur,Malaysia,26.59
8.18,1898,Kuala Lumpur,Malaysia,26.36
8.40,1899,Kuala Lumpur,Malaysia,26.24
8.50,1900,Kuala Lumpur,Malaysia,26.56
8.54,1901,Kuala Lumpur,Malaysia,26.12
8.30,1902,Kuala Lumpur,Malaysia,26.11
8.22,1903,Kuala Lumpur,Malaysia,26.18
8.09,1904,Kuala Lumpur,Malaysia,25.95
8.23,1905,Kuala Lumpur,Malaysia,26.70
8.38,1906,Kuala Lumpur,Malaysia,26.22
7.95,1907,Kuala Lumpur,Malaysia,26.34
8.19,1908,Kuala Lumpur,Malaysia,26.26
8.18,1909,Kuala Lumpur,Malaysia,26.44
8.22,1910,Kuala Lumpur,Malaysia,26.08
8.18,1911,Kuala Lumpur,Malaysia,26.31
8.17,1912,Kuala Lumpur,Malaysia,26.47
8.30,1913,Kuala Lumpur,Malaysia,26.13
8.59,1914,Kuala Lumpur,Malaysia,26.72
8.59,1915,Kuala Lumpur,Malaysia,26.72
8.23,1916,Kuala Lumpur,Malaysia,26.33
8.02,1917,Kuala Lumpur,Malaysia,25.87
8.13,1918,Kuala Lumpur,Malaysia,26.02
8.38,1919,Kuala Lumpur,Malaysia,26.59
8.36,1920,Kuala Lumpur,Malaysia,26.46
8.57,1921,Kuala Lumpur,Malaysia,26.27
8.41,1922,Kuala Lumpur,Malaysia,26.35
8.42,1923,Kuala Lumpur,Malaysia,26.32
8.51,1924,Kuala Lumpur,Malaysia,26.45
8.53,1925,Kuala Lumpur,Malaysia,26.26
8.73,1926,Kuala Lumpur,Malaysia,26.57
8.52,1927,Kuala Lumpur,Malaysia,26.45
8.63,1928,Kuala Lumpur,Malaysia,26.56
8.24,1929,Kuala Lumpur,Malaysia,26.58
8.63,1930,Kuala Lumpur,Malaysia,26.86
8.72,1931,Kuala Lumpur,Malaysia,26.86
8.71,1932,Kuala Lumpur,Malaysia,26.53
8.34,1933,Kuala Lumpur,Malaysia,26.48
8.63,1934,Kuala Lumpur,Malaysia,26.32
8.52,1935,Kuala Lumpur,Malaysia,26.56
8.55,1936,Kuala Lumpur,Malaysia,26.67
8.70,1937,Kuala Lumpur,Malaysia,26.78
8.86,1938,Kuala Lumpur,Malaysia,26.72
8.76,1939,Kuala Lumpur,Malaysia,26.62
8.76,1940,Kuala Lumpur,Malaysia,26.97
8.77,1941,Kuala Lumpur,Malaysia,27.34
8.73,1942,Kuala Lumpur,Malaysia,26.95
8.76,1943,Kuala Lumpur,Malaysia,26.58
8.85,1944,Kuala Lumpur,Malaysia,26.73
8.58,1945,Kuala Lumpur,Malaysia,26.74
8.68,1946,Kuala Lumpur,Malaysia,26.85
8.80,1947,Kuala Lumpur,Malaysia,26.92
8.75,1948,Kuala Lumpur,Malaysia,26.79
8.59,1949,Kuala Lumpur,Malaysia,26.71
8.37,1950,Kuala Lumpur,Malaysia,26.62
8.63,1951,Kuala Lumpur,Malaysia,26.77
8.64,1952,Kuala Lumpur,Malaysia,26.84
8.87,1953,Kuala Lumpur,Malaysia,26.85
8.56,1954,Kuala Lumpur,Malaysia,26.62
8.63,1955,Kuala Lumpur,Malaysia,26.64
8.28,1956,Kuala Lumpur,Malaysia,26.57
8.73,1957,Kuala Lumpur,Malaysia,26.88
8.77,1958,Kuala Lumpur,Malaysia,27.18
8.73,1959,Kuala Lumpur,Malaysia,26.96
8.58,1960,Kuala Lumpur,Malaysia,26.94
8.80,1961,Kuala Lumpur,Malaysia,26.77
8.75,1962,Kuala Lumpur,Malaysia,26.69
8.86,1963,Kuala Lumpur,Malaysia,26.91
8.41,1964,Kuala Lumpur,Malaysia,26.77
8.53,1965,Kuala Lumpur,Malaysia,26.73
8.60,1966,Kuala Lumpur,Malaysia,26.89
8.70,1967,Kuala Lumpur,Malaysia,26.62
8.52,1968,Kuala Lumpur,Malaysia,26.84
8.60,1969,Kuala Lumpur,Malaysia,27.05
8.70,1970,Kuala Lumpur,Malaysia,26.97
8.60,1971,Kuala Lumpur,Malaysia,26.55
8.50,1972,Kuala Lumpur,Malaysia,26.94
8.95,1973,Kuala Lumpur,Malaysia,27.03
8.47,1974,Kuala Lumpur,Malaysia,26.73
8.74,1975,Kuala Lumpur,Malaysia,26.56
8.35,1976,Kuala Lumpur,Malaysia,26.60
8.85,1977,Kuala Lumpur,Malaysia,26.95
8.69,1978,Kuala Lumpur,Malaysia,26.99
8.73,1979,Kuala Lumpur,Malaysia,27.08
8.98,1980,Kuala Lumpur,Malaysia,26.98
9.17,1981,Kuala Lumpur,Malaysia,26.95
8.64,1982,Kuala Lumpur,Malaysia,26.86
9.03,1983,Kuala Lumpur,Malaysia,27.35
8.69,1984,Kuala Lumpur,Malaysia,26.59
8.66,1985,Kuala Lumpur,Malaysia,26.83
8.83,1986,Kuala Lumpur,Malaysia,26.93
8.99,1987,Kuala Lumpur,Malaysia,27.27
9.20,1988,Kuala Lumpur,Malaysia,27.15
8.92,1989,Kuala Lumpur,Malaysia,26.85
9.23,1990,Kuala Lumpur,Malaysia,27.21
9.18,1991,Kuala Lumpur,Malaysia,27.04
8.84,1992,Kuala Lumpur,Malaysia,27.05
8.87,1993,Kuala Lumpur,Malaysia,26.99
9.04,1994,Kuala Lumpur,Malaysia,27.00
9.35,1995,Kuala Lumpur,Malaysia,27.05
9.04,1996,Kuala Lumpur,Malaysia,27.04
9.20,1997,Kuala Lumpur,Malaysia,27.29
9.52,1998,Kuala Lumpur,Malaysia,27.89
9.29,1999,Kuala Lumpur,Malaysia,26.95
9.20,2000,Kuala Lumpur,Malaysia,27.14
9.41,2001,Kuala Lumpur,Malaysia,27.24
9.57,2002,Kuala Lumpur,Malaysia,27.57
9.53,2003,Kuala Lumpur,Malaysia,27.36
9.32,2004,Kuala Lumpur,Malaysia,27.35
9.70,2005,Kuala Lumpur,Malaysia,27.59
9.53,2006,Kuala Lumpur,Malaysia,27.29
9.73,2007,Kuala Lumpur,Malaysia,27.23
9.43,2008,Kuala Lumpur,Malaysia,27.12
9.51,2009,Kuala Lumpur,Malaysia,27.47
9.70,2010,Kuala Lumpur,Malaysia,27.69
9.52,2011,Kuala Lumpur,Malaysia,27.27
9.51,2012,Kuala Lumpur,Malaysia,27.36
9.61,2013,Kuala Lumpur,Malaysia,27.80
